Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
,,SYS,TIM1/2/15/16/17,TIM3/4/5/8,TSC/TIM8/COMP7,TIM8/9/10/11/I2C1/2,SPI1/2/I2C1/2/3/I2S2/3/IR/TIM8/I2S2ext/UART4/5,TIM1/8/SPI3/I2S2/3/I2S3ext/IR,USART1/2/3/COMP3/5/6,COMP1/2/3/5/6,TIM8/15/CAN,TIM2/3/4/8/17,TIM8,TIM1,,USB,
PortA,PA0,,TIM2_CH1/TIM2_ETR,,TSC_G1_IO1,,,,USART2_CTS,COMP1_OUT,TIM8_BKIN,TIM8_ETR,,,,,EVENTOUT
PortA,PA1,RTC_REFIN,TIM_CH2,,TSC_G1_IO2,,,,USART2_RTS_DE,,TIM15_CH1N,,,,,,EVENTOUT
PortA,PA2,,TIM2_CH3,,TSC_G1_IO3,,,,USART2_TX,COMP2_OUT,TIM15_CH1,,,,,,EVENTOUT
PortA,PA3,,TIM2_CH4,,TSC_G1_IO4,,,,USART2_RX,,TIM15_CH2,,,,,,EVENTOUT
PortA,PA4,,,TIM3_CH2,TSC_G2_IO1,,SPI1_NSS,SPI3_NSS/I2S3_WS,USART2_CK,,,,,,,,EVENTOUT
PortA,PA5,,TIM2_CH1/TIM2_ETR,,TSC_G2_IO2,,SPI1_SCK,,,,,,,,,,EVENTOUT
PortA,PA6,,TIM16_CH1,TIM3_CH1,TSC_G2_IO3,TIM8_BKIN,SPI1_MISO,TIM1_BKIN,,COMP1_OUT,,,,,,,EVENTOUT
PortA,PA7,,TIM17_CH1,TIM3_CH2,TSC_G2_IO4,TIM8_CH1N,SPI1_MOSI,TIM1_CH1N,,COMP2_OUT,,,,,,,EVENTOUT
PortA,PA8,MCO,,,,I2C2_SMBA,I2C2_MCK,TIM1_CH1,USART1_CK,COMP3_OUT,,TIM4_ETR,,,,,EVENTOUT
PortA,PA9,,,,TSC_G4_IO1,I2C2_SCL,I2S3_MCK,TIM1_CH2,USART1_TX,COMP5_OUT,TIM15_BKIN,TIM2_CH3,,,,,EVENTOUT
PortA,PA10,,TIM17_BKIN,,TSC_G4_IO2,I2C2_SDA,,TIM1_CH3,USART1_RX,COMP6_OUT,,TIM2_CH4,TIM8_BKIN,,,,EVENTOUT
PortA,PA11,,,,,,,TIM1_CH1N,USART1_CTS,COMP1_OUT,CAN_RX,TIM4_CH1,TIM8_CH4,TIM1_BKIN2,,USB_DM,EVENTOUT
PortA,PA12,,TIM16_CH1,,,,,TIM1_CH2N,USART1_RTS_DE,COMP2_OUT,CAN_TX,TIM4_CH2,TIM1_ETR,,,USB_DP,EVENTOUT
PortA,PA13,SWDIO/JTMS,TIM16_CH1N,,TSC_G4_IO3,,IR_OUT,,USART3_CTS,,,TIM4_CH3,,,,,EVENTOUT
PortA,PA14,SWDCLK/JTCK,,,TSC_G4_IO4,I2C1_SDA,TIM8_CH2,TIM1_BKIN,USART2_TX,,,,,,,,EVENTOUT
PortA,PA15,JTDI,TIM2_CH1/TIM2_ETR,TIM8_CH1,,I2C1_SCL,,SPI3_NSS/I2S3_WS,USART2_RX,,TIM1_BKIN,,,,,,EVENTOUT
PortB,PB0,,,TIM3_CH3,TSC_G3_IO2,TIM8_CH2N,,TIM1_CH2N,,,,,,,,,EVENTOUT
